"","run","R0","seed_start","peak_t"
"118",118,1.62619260721426,9,102
"119",119,2.27991136744339,9,71
"120",120,3.07434356812829,1,53
"121",121,2.63878472576011,2,58
"122",122,3.35300437650601,4,49
"123",123,2.22340185627477,2,66
"124",124,2.60318815351983,6,66
"125",125,2.26725776829207,12,74
"126",126,2.98393085222249,16,68
"127",127,1.73892926041593,6,88
"128",128,2.26615487348084,20,82
"129",129,2.49562212637259,11,65
"130",130,2.43071545664427,3,67
"131",131,3.27391149468615,18,66
"132",132,2.12924582105137,12,80
"133",133,2.90751947183652,10,67
"134",134,2.5574613976788,2,60
"135",135,1.97311344294536,18,96
"136",136,2.58196583784475,13,69
"137",137,1.82136575389658,7,84
"138",138,3.27420542947301,9,57
"139",139,1.80787320921729,17,98
"140",140,2.11801436737404,19,92
"141",141,2.61553660594933,3,60
"142",142,3.0566697054481,14,66
"143",143,3.81193507621106,0,45
"144",144,2.7211000631012,19,73
"145",145,1.66257523661666,11,109
"146",146,2.05144668889451,2,70
"147",147,2.27740404155468,5,67
"148",148,2.21799454426284,0,62
"149",149,3.67259948285177,20,62
"150",150,3.12425640460327,20,69
"151",151,2.36183630742803,5,66
"152",152,3.33156975021265,20,67
"153",153,3.70511236139638,3,47
"154",154,4.14538292064916,18,58
"155",155,3.51797155510669,20,67
"156",156,2.93518415887687,14,65
"157",157,3.21577078175252,16,63
"158",158,1.71365530748,0,84
"159",159,2.44764240504364,9,65
"160",160,3.22992270949582,3,53
"161",161,2.51562388547707,9,71
"162",162,3.10328300965169,13,61
"163",163,3.36996396891283,20,67
"164",164,3.3391190903264,0,49
"165",165,2.85533947493964,20,71
"166",166,2.71328018333423,6,62
"167",167,2.13303436278226,11,75
"168",168,1.72725940032935,16,95
"169",169,2.40178389921991,15,71
"170",170,3.42269165275553,8,55
"171",171,3.21521907017902,3,52
"172",172,3.01722729422998,13,66
"173",173,2.82904536197323,10,63
"174",174,2.3739704574159,9,72
"175",175,3.0636071511756,6,53
"176",176,3.54660609510853,3,48
"177",177,2.21926823164041,12,80
"178",178,2.45392936084765,7,64
"179",179,2.65505275641211,15,74
"180",180,2.77866415561628,9,64
"181",181,2.20798858587404,3,67
